"Lang","To","From","ToExposed","PairDirFound","Token","IndexExists","HasRelated","RelatedCount","HasExplainer","HasTitle","HasH1"
"ar","7z","aac","True","True","to","True","False","0","False","True","True"
"ar","7z","aiff","True","True","to","True","False","0","False","True","True"
"ar","7z","bmp","True","True","to","True","False","0","False","True","True"
"ar","7z","csv","True","True","to","True","False","0","False","True","True"
"ar","7z","docx","True","True","to","True","False","0","False","True","True"
"ar","7z","flac","True","True","to","True","False","0","False","True","True"
"ar","7z","gif","True","True","to","True","False","0","False","True","True"
"ar","7z","html","True","True","to","True","False","0","False","True","True"
"ar","7z","jpeg","True","True","to","True","False","0","False","True","True"
"ar","7z","jpg","True","True","to","True","False","0","False","True","True"
"ar","7z","json","True","True","to","True","False","0","False","True","True"
"ar","7z","jsonl","True","True","to","True","False","0","False","True","True"
"ar","7z","m4a","True","True","to","True","False","0","False","True","True"
"ar","7z","m4v","True","True","to","True","False","0","False","True","True"
"ar","7z","md","True","True","to","True","False","0","False","True","True"
"ar","7z","mkv","True","True","to","True","False","0","False","True","True"
"ar","7z","mov","True","True","to","True","False","0","False","True","True"
"ar","7z","mp3","True","True","to","True","False","0","False","True","True"
"ar","7z","mp4","True","True","to","True","False","0","False","True","True"
"ar","7z","ogg","True","True","to","True","False","0","False","True","True"
"ar","7z","opus","True","True","to","True","False","0","False","True","True"
"ar","7z","pdf","True","True","to","True","False","0","False","True","True"
"ar","7z","png","True","True","to","True","False","0","False","True","True"
"ar","7z","pptx","True","True","to","True","False","0","False","True","True"
"ar","7z","rar","True","True","to","True","False","0","False","True","True"
"ar","7z","rtf","True","True","to","True","False","0","False","True","True"
"ar","7z","svg","True","True","to","True","False","0","False","True","True"
"ar","7z","tar","True","True","to","True","False","0","False","True","True"
"ar","7z","tar.bz2","True","True","to","True","False","0","False","True","True"
"ar","7z","tar.gz","True","True","to","True","False","0","False","True","True"
"ar","7z","tar.xz","True","True","to","True","False","0","False","True","True"
"ar","7z","tbz","True","True","to","True","False","0","False","True","True"
"ar","7z","tgz","True","True","to","True","False","0","False","True","True"
"ar","7z","tiff","True","True","to","True","False","0","False","True","True"
"ar","7z","tsv","True","True","to","True","False","0","False","True","True"
"ar","7z","txt","True","True","to","True","False","0","False","True","True"
"ar","7z","txz","True","True","to","True","False","0","False","True","True"
"ar","7z","wav","True","True","to","True","False","0","False","True","True"
"ar","7z","webm","True","True","to","True","False","0","False","True","True"
"ar","7z","webp","True","True","to","True","False","0","False","True","True"
"ar","7z","xlsx","True","True","to","True","False","0","False","True","True"
"ar","7z","zip","True","True","to","True","False","0","False","True","True"
"ar","aac","7z","True","True","to","True","False","0","False","True","True"
"ar","aac","aiff","True","True","to","True","False","0","False","True","True"
"ar","aac","bmp","True","True","to","True","False","0","False","True","True"
"ar","aac","csv","True","True","to","True","False","0","False","True","True"
"ar","aac","docx","True","True","to","True","False","0","False","True","True"
"ar","aac","flac","True","True","to","True","False","0","False","True","True"
"ar","aac","gif","True","True","to","True","False","0","False","True","True"
"ar","aac","html","True","True","to","True","False","0","False","True","True"
"ar","aac","jpeg","True","True","to","True","False","0","False","True","True"
"ar","aac","jpg","True","True","to","True","False","0","False","True","True"
"ar","aac","json","True","True","to","True","False","0","False","True","True"
"ar","aac","jsonl","True","True","to","True","False","0","False","True","True"
"ar","aac","m4a","True","True","to","True","False","0","False","True","True"
"ar","aac","m4v","True","True","to","True","False","0","False","True","True"
